Comp Name,Core Traits,Carry,Difficulty,Winrate
BoomBot Flex,"BoomBot,Flex","Urgot, Vex, Zac, Cho’Gath",Hard,56.8%
EXO7ECH,"Exotech,Marksman,Vanguard","Zeri, Sejuani, Varus",Medium,57.4%
Gold Diggers,"Digger,Bruiser,Marksman","Aphelios, Graves, Jarvan IV",Medium,58.1%
Dynamo Duo,"Dynamo,Bruiser","Miss Fortune, Aurora, Zac",Hard,55.6%
VexoTech,"Vex,Exotech,Techie","Vex, Varus, Mordekaiser, Sejuani",Hard,59.3%
